epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,1.2182756489974722,0.5492091388400703,0.3913744407972378,0.5688663723981205,0.7522036441598072,0.7208835341365462,0.6263337320939355,0.731962661613421
2,0.6658942273235967,0.7348732111473764,0.6323047574338947,0.763155275401019,0.5887321453975386,0.7349397590361446,0.6672841692577647,0.7979686430846712
3,0.5012144501742604,0.7809440120512177,0.7062872291064661,0.8311574847009557,0.5698132629255693,0.7811244979919679,0.6881104610514573,0.7924042288586272
4,0.4321858744629657,0.808812452924931,0.755515622299338,0.8596371613222445,0.5454218091974297,0.8122489959839357,0.7618999220681607,0.8087407095771909
5,0.3759095640658973,0.8351744915892544,0.7937875668483324,0.8856955300804967,0.5126391679467447,0.8453815261044176,0.8026015921531003,0.8190588778245859
6,0.27787474078013313,0.8610343961837811,0.8408832049310645,0.9156646925800749,0.5110715023993727,0.8785140562248996,0.836985178255832,0.831245790173398
7,0.23547364353475156,0.8654280692945017,0.840451752119297,0.9164408204038962,0.43395781129538774,0.8343373493975904,0.8179131773665886,0.8732014652144172
8,0.25902690434467845,0.8714536781320613,0.8300814679322321,0.9124272117932536,0.6141282835878042,0.7831325301204819,0.7015851080573946,0.8134331319706387
9,0.2072098854795461,0.8847602309816721,0.8564435404307507,0.9282229774040012,0.4915447104049016,0.8493975903614458,0.797298468812599,0.8195284252450238
